,Threshold_Value,Accuracy,Precision,Recall,F1_Score,Sensibility,Specifity
74,0.37,0.9066802864320037,0.3916201117318436,0.17145652439770087,0.23849621502083865,0.17145652439770087,0.02481711902645789
75,0.375,0.9071701810525438,0.3951079136690647,0.16790999143940322,0.2356676965327841,0.16790999143940322,0.02395114058476333
76,0.38,0.9075245729057005,0.3966696402022004,0.16314051608169255,0.23119584055459272,0.16314051608169255,0.0231193455026093
77,0.385,0.9079415044976495,0.39963224026969046,0.1594716888834536,0.22797202797202792,0.1594716888834536,0.02232173377999591
78,0.39,0.9081812401630203,0.4001264222503161,0.15482450776568424,0.22326073538488672,0.15482450776568424,0.02162667213600422
79,0.395,0.9085564785957744,0.4029315960912052,0.15127797480738658,0.21996976971636883,0.15127797480738658,0.020886032679291677
80,0.4,0.9089629868979248,0.4058167061210686,0.14675308792955852,0.21555595473324954,0.14675308792955852,0.020020054237597118
81,0.405,0.909296532171484,0.40863209189001043,0.14357343769108474,0.21248868778280544,0.14357343769108474,0.019359175953145957
82,0.41000000000000003,0.9096300774450432,0.4117436448263516,0.1406383759324936,0.2096627164995442,0.1406383759324936,0.018721086575055224
83,0.41500000000000004,0.9100053158777973,0.41540170307293595,0.13721413721413722,0.2062879205736349,0.13721413721413722,0.017991841571523004
84,0.42,0.9102242049635706,0.4170471841704718,0.13403448697566345,0.2028690421101342,0.13403448697566345,0.01745630227205397
85,0.425,0.9103388611513565,0.41682974559686886,0.1302433655374832,0.1984718598583675,0.1302433655374832,0.01697773523848589
86,0.43,0.9106411365555197,0.41983805668016194,0.12681912681912683,0.19479665633511786,0.12681912681912683,0.016328251407214944
87,0.435,0.910818332482098,0.4213366542133665,0.12412865354041824,0.19176270546004157,0.12412865354041824,0.015883867733187507
88,0.44,0.9108704489310916,0.4201537147736977,0.12033753210223798,0.18709002756916054,0.12033753210223798,0.015473667418700598
89,0.445,0.9111414544658585,0.42314487632508835,0.11715788186376422,0.18350732688439805,0.11715788186376422,0.014881155853330608
90,0.45,0.9112456873638458,0.42318181818181816,0.11385593738534915,0.17943528958273103,0.11385593738534915,0.014459561085663486
91,0.455,0.9114854230292165,0.4258823529411765,0.11067628714687539,0.17569403999223454,0.11067628714687539,0.013901232879834136
92,0.46,0.9115896559272038,0.42571846078908915,0.10688516570869512,0.17086999022482896,0.10688516570869512,0.013434060299446271
93,0.465,0.9117147354047884,0.4263448969331322,0.10370551547022135,0.16683061184339953,0.10370551547022135,0.013001071078598936
